variant,fraction_bin,cumulative_fce,cumulative_true_progress,commitment_debt_after,fce_per_progress
full_ccpb,0.0,2.8529005375000005,0.0,11.219268282857144,2852900537.5000005
full_ccpb,0.02,8.715121108928573,0.0,14.126225991785715,8715121108.928572
full_ccpb,0.04,13.86662405357143,0.0,18.028157259285713,13866624053.571428
full_ccpb,0.06,17.320526244642856,0.0,15.797174664285714,17320526244.642857
full_ccpb,0.08,19.881672435714286,0.39027323214285714,17.2918888275,50.942956878059015
full_ccpb,0.1,23.548039408928577,0.9681955535714286,19.900334340357144,24.321573593336403
full_ccpb,0.12,28.585571980357145,1.535675339285714,19.0127294775,18.614332892558593
full_ccpb,0.14,31.604027767857144,2.095686767857143,20.862164555714287,15.080511196896339
full_ccpb,0.16,33.84895788214286,10.704903935714286,16.79777935142857,3.1620048237158036
full_ccpb,0.18,34.73929788214286,12.610254142857142,18.798376637857142,2.7548451830227645
full_ccpb,0.2,35.76407788214286,13.725175214285713,18.12991770142857,2.605728329421847
full_ccpb,0.22,36.71604073928571,15.712427464285714,19.02545214464286,2.336751645965662
full_ccpb,0.24,37.57202573928571,17.07231675,21.461439107500002,2.200757301394711
full_ccpb,0.26,37.57202573928571,18.824689491071428,20.056350114285717,1.9958908622161426
full_ccpb,0.28,37.57202573928571,20.588683205357142,18.409756968214285,1.824887262800252
full_ccpb,0.3,37.57202573928571,22.51065811964286,18.2527932125,1.6690771784455412
full_ccpb,0.32,37.57202573928571,24.45266738214286,20.477122667142858,1.536520541997131
full_ccpb,0.34,95.01480104642857,47.05802619642857,20.765385857857144,2.0190987324844416
full_ccpb,0.36,99.14027975892857,47.05802619642857,23.01996612107143,2.1067666405110024
full_ccpb,0.38,101.9823178875,47.05802619642857,22.740972434642856,2.16716097402402
full_ccpb,0.4,104.67559241071429,47.05802619642857,18.47006936607143,2.2243940273605984
full_ccpb,0.42,106.15615121785713,47.43472630357143,18.242495107499998,2.2379416830294745
full_ccpb,0.44,107.96557375178573,48.03768926785715,16.44725418928571,2.2475180508740116
full_ccpb,0.46,110.00946225535714,48.70164494642857,15.270194116428572,2.2588448989016015
full_ccpb,0.48,112.07840374107143,49.39592445535715,14.700212594642858,2.268980790963133
full_ccpb,0.5,113.40294968035714,58.6715167375,15.026390112857143,1.9328450325858961
full_ccpb,0.52,113.84589896607143,61.66900155892857,18.96731056357143,1.8460798146259039
full_ccpb,0.54,114.41223110892857,63.390895130357144,21.784810473214286,1.804868520528872
full_ccpb,0.56,115.22176396607142,64.20993507321428,19.198765211071425,1.7944538307769937
full_ccpb,0.58,115.63682968035714,66.2544479,17.678912248214285,1.7453444009508852
full_ccpb,0.6,115.63682968035714,67.97727024464285,18.529854470714287,1.7011102279363775
full_ccpb,0.62,115.63682968035714,69.39323355535714,15.180130426785714,1.6663992115039579
full_ccpb,0.64,115.63682968035714,71.05609800714286,17.9059264675,1.627401910934271
full_ccpb,0.66,115.98098910892857,73.58107253392858,21.328800265,1.5762340112051125
full_ccpb,0.68,161.83784437857142,92.50555902678572,16.205119029642855,1.7494931772879723
full_ccpb,0.7,167.22426078214286,92.50555902678572,19.169620927142855,1.8077212066111805
full_ccpb,0.72,169.5790963392857,92.50555902678572,16.6391431275,1.8331773584567252
full_ccpb,0.74,174.0275425910714,92.50555902678572,17.17988658035714,1.8812657792887924
full_ccpb,0.76,174.46335508214287,92.97179103571429,12.941740094285715,1.876519244585966
full_ccpb,0.78,176.5046784875,93.47219301785715,12.785827418571428,1.8883121577534843
full_ccpb,0.8,180.09212105714283,93.96102722321429,12.639962591785714,1.9166682866218043
full_ccpb,0.82,181.84410034107142,94.49741316964285,14.257838626785714,1.9243288704064605
full_ccpb,0.84,183.6771517410714,103.80715121964286,12.607914892857142,1.7694074982602468
full_ccpb,0.86,184.22918174107141,105.79433149821429,15.20463316357143,1.7413899131654424
