commitment_debt_end,deferred_ratio,false_commitment_exposure,non_dominated,policy_config_id,practical_non_dominated,regime,rejected_ratio,resource_reservation_waste,split,true_progress
9.27505,0.027777777777777776,35.31714000000001,0,progress_guarded_cpb_cfg004,0,feasible,0.1388888888888889,0.8747500000000001,test_id,22.612135000000002
12.0715,0.0763888888888889,168.91608000000002,1,progress_guarded_cpb_cfg004,1,feasible,0.11805555555555555,5.4676,test_ood_template,70.42017999999999
16.87211564,0.05555555555555555,34.56563894999999,1,progress_guarded_cpb_cfg004,1,high_fanout_feasible,0.16666666666666666,1.0934375,test_id,23.1337512
15.05806034,0.08333333333333333,126.84177304999993,1,progress_guarded_cpb_cfg004,1,high_fanout_feasible,0.1388888888888889,1.38095,test_ood_template,71.6883696
17.26306723,0.06944444444444445,32.921252749999994,1,progress_guarded_cpb_cfg004,1,network_delay_high,0.18055555555555555,0.572715,test_id,18.953807800000003
16.81667936,0.11458333333333333,109.81993394999998,1,progress_guarded_cpb_cfg004,1,network_delay_high,0.16666666666666666,5.02436,test_ood_template,58.07060239999999
36.45962828,0.4322916666666667,134.47104000000007,1,progress_guarded_cpb_cfg004,1,verifier_scarce,0.0,5.2915985,test_ood_network,89.22772875
9.27505,0.08333333333333333,30.388540000000006,1,progress_guarded_cpb_cfg005,1,feasible,0.1111111111111111,0.8747500000000001,test_id,23.674615000000006
12.0715,0.09722222222222222,131.75817999999998,1,progress_guarded_cpb_cfg005,1,feasible,0.1111111111111111,5.7876,test_ood_template,71.974425
12.93096867,0.08333333333333333,29.718241449999997,1,progress_guarded_cpb_cfg005,1,high_fanout_feasible,0.1111111111111111,1.0934375,test_id,23.4691992
14.96639659,0.09375,110.25181595,1,progress_guarded_cpb_cfg005,1,high_fanout_feasible,0.12152777777777778,1.78095,test_ood_template,72.54827100000003
9.04270059,0.08333333333333333,24.889877850000005,1,progress_guarded_cpb_cfg005,1,network_delay_high,0.18055555555555555,0.962225,test_id,19.300578799999997
12.80393826,0.13194444444444445,95.85578495,1,progress_guarded_cpb_cfg005,1,network_delay_high,0.1527777777777778,2.205236,test_ood_template,59.20199079999998
50.82082482,0.3020833333333333,135.17558000000005,1,progress_guarded_cpb_cfg005,1,verifier_scarce,0.013888888888888888,5.548727,test_ood_network,105.05863324999997
11.7985,0.041666666666666664,35.42728000000001,1,progress_guarded_cpb_cfg011,1,feasible,0.08333333333333333,0.8747500000000001,test_id,24.591265000000007
12.0715,0.04861111111111111,167.61832000000004,1,progress_guarded_cpb_cfg011,1,feasible,0.09027777777777778,5.7876,test_ood_template,73.03121499999999
19.34126423,0.041666666666666664,42.595452949999995,1,progress_guarded_cpb_cfg011,1,high_fanout_feasible,0.125,1.0934375,test_id,22.605857999999998
15.11010391,0.06597222222222222,138.30497819999994,1,progress_guarded_cpb_cfg011,1,high_fanout_feasible,0.1111111111111111,2.90595,test_ood_template,73.55180160000003
16.8736896,0.05555555555555555,36.214462100000006,1,progress_guarded_cpb_cfg011,1,network_delay_high,0.16666666666666666,0.962225,test_id,19.086987
13.22486964,0.09375,126.45071799999998,1,progress_guarded_cpb_cfg011,1,network_delay_high,0.1388888888888889,6.01436,test_ood_template,59.773347599999994
69.82097606,0.3177083333333333,149.61896000000004,1,progress_guarded_cpb_cfg011,1,verifier_scarce,0.0,5.548727,test_ood_network,103.35256150000002
11.7985,0.041666666666666664,37.84286000000001,1,progress_guarded_cpb_cfg023,1,feasible,0.125,0.8747500000000001,test_id,24.411155000000008
13.568675,0.09027777777777778,167.06313999999998,1,progress_guarded_cpb_cfg023,1,feasible,0.1388888888888889,5.4676,test_ood_template,70.5767
21.02553972,0.041666666666666664,39.4431102,1,progress_guarded_cpb_cfg023,1,high_fanout_feasible,0.18055555555555555,1.0934375,test_id,22.8029418
15.05806034,0.1076388888888889,145.85304754999999,1,progress_guarded_cpb_cfg023,1,high_fanout_feasible,0.1527777777777778,2.50595,test_ood_template,70.81375860000001
20.139614,0.08333333333333333,36.581868799999995,1,progress_guarded_cpb_cfg023,1,network_delay_high,0.19444444444444445,0.572715,test_id,18.494516200000007
12.80393826,0.14930555555555555,120.40962059999998,1,progress_guarded_cpb_cfg023,1,network_delay_high,0.18055555555555555,6.01436,test_ood_template,57.6067844
93.71874893,0.3663194444444444,144.52266000000003,1,progress_guarded_cpb_cfg023,1,verifier_scarce,0.0,4.935144500000001,test_ood_network,105.82866525
