policy_name,policy_label,stress_bin,event_count,fce_per_progress,progress_per_event,mean_debt,withheld_ratio,info_or_verify_ratio
pressure_backpressure,Pressure BP,Q1,1345,1.4277318777274235,0.31103235652044614,10.945897366104102,0.29442379182156136,0.0
pressure_backpressure,Pressure BP,Q2,1452,1.391287354022167,0.21633072305785106,12.863529956101925,0.4758953168044077,0.0
pressure_backpressure,Pressure BP,Q3,1395,1.2443179940916322,0.1587965106021506,16.06471429126886,0.5519713261648745,0.0
pressure_backpressure,Pressure BP,Q4,1404,1.1385019252215829,0.1447840815669516,15.557210457336181,0.5669515669515669,0.0
pressure_backpressure,Pressure BP,Q5,1028,38.629436733884255,0.013101363939688715,14.706900490437754,0.47568093385214005,0.0
static_cpb,Static CPB,Q1,1253,1.3271595374803091,0.3162910135674379,21.063991181173172,0.29608938547486036,0.04868316041500399
static_cpb,Static CPB,Q2,1290,1.3908236929266036,0.20988987596899245,23.335908528201568,0.4968992248062015,0.09224806201550388
static_cpb,Static CPB,Q3,1289,1.3100328551164806,0.14749950038789758,39.35398262606681,0.6268425135764158,0.08766485647788984
static_cpb,Static CPB,Q4,1288,0.8218919713413405,0.15998709239130438,40.88005556847812,0.6234472049689441,0.06288819875776397
static_cpb,Static CPB,Q5,1504,36.65587646153929,0.011253300531914893,35.8806055109708,0.6256648936170213,0.3464095744680851
closed_loop_cpb,C-CPB,Q1,1329,1.5736645694463756,0.3267048343115121,10.168428890978182,0.1911211437170805,0.34838224228743414
closed_loop_cpb,C-CPB,Q2,1296,1.5748124622024713,0.28225980281635793,19.347581255146633,0.2515432098765432,0.49614197530864196
closed_loop_cpb,C-CPB,Q3,1322,1.3506393935818755,0.24020355347957648,35.18276676689098,0.3434190620272315,0.48184568835098335
closed_loop_cpb,C-CPB,Q4,1291,0.8452181627296653,0.23188543508907816,34.318126007846665,0.3648334624322231,0.5290472501936483
closed_loop_cpb,C-CPB,Q5,1386,43.994789230539745,0.015231628860028863,30.759685968455976,0.3795093795093795,0.6825396825396826
progress_guarded_cpb,C-CPB+Prog.,Q1,1367,1.4511378376210393,0.31226635391367935,7.874187416027799,0.19092904169714703,0.3833211411850768
progress_guarded_cpb,C-CPB+Prog.,Q2,1265,1.381489683794566,0.29348805644268755,16.557198414379464,0.2158102766798419,0.5019762845849802
progress_guarded_cpb,C-CPB+Prog.,Q3,1292,0.919477431708878,0.2729391648219814,37.28228667933446,0.27631578947368424,0.5843653250773994
progress_guarded_cpb,C-CPB+Prog.,Q4,1318,0.8307440735114847,0.2345040030349013,35.84749602784524,0.3482549317147193,0.5553869499241275
progress_guarded_cpb,C-CPB+Prog.,Q5,1382,54.657904957790805,0.01159021027496382,32.38193549490596,0.32706222865412443,0.7257597684515196
