threshold,ccpb_events,ccpb_fce_per_progress,pressure_fce_per_progress,static_fce_per_progress,ccpb_progress_per_event,pressure_progress_per_event,ccpb_mean_debt_state,pressure_mean_debt_state,dominance_pairs,baseline_dominates_ccpb,dominance_rate
0.35,6620,1.7533994570734022,1.7598144896210695,1.7923493845306384,0.22293985570241692,0.17684545533836857,25.9271356060559,14.001252811551357,672,2,0.002976190476190476
0.45,6556,1.7471929992788708,1.7492997135046413,1.7827942873993134,0.2251162057275778,0.1785718295210494,25.98387541531422,14.055102221688527,672,2,0.002976190476190476
0.55,5776,1.6309262125464947,1.5741323294102467,1.5670605396557833,0.2555162473597645,0.20268644638850414,26.08030491206545,14.288537185296049,672,1,0.001488095238095238
0.65,5288,1.444745558764713,1.4215887911008063,1.4047600616928095,0.2716503641736006,0.2153805866887292,26.15412097330559,14.34809187020234,672,3,0.004464285714285714
