scope,stress_axis,stress_bin,rows,mean_delay,mean_packet_capacity,mean_verifier_capacity,mean_resource_utilization,mean_commitment_debt,mean_verifier_queue_length,mean_fce_increment,mean_progress_increment,send_actionable_ratio,send_informational_only_ratio,verify_first_ratio,defer_ratio,reject_ratio,protective_ratio
all_policy_events,feedback_delay,delay_low_0_3,160512,2.574162679425837,15.37799043062201,6.688995215311005,0.49043062200897286,72.35479756131237,1.4117449162679425,0.4129184497420907,0.36418559702615977,0.549846740430622,0.19955517344497609,0.05260042862838916,0.11189817583732058,0.08609948165869219,0.25059808612440193
all_policy_events,feedback_delay,delay_mid_4_6,148992,5.077319587628866,14.381443298969073,4.260309278350515,0.6178350515461501,135.11621883015502,2.8668368100300685,0.5020582304924488,0.23326295621367432,0.4094582259450172,0.27140383376288657,0.0642786189862543,0.16412961769759452,0.09072970360824742,0.31913794029209624
all_policy_events,feedback_delay,delay_high_7_plus,132864,7.6531791907514455,11.907514450867051,4.205202312138728,0.5708670520224355,105.23470486660356,2.543484314788054,0.6295690556131853,0.11825875832542511,0.3940871868978805,0.25897157996146436,0.15277276011560695,0.12326890655105974,0.07089956647398844,0.3469412331406551
all_policy_events,verifier_capacity,verifier_scarce_le_2p5,110592,6.166666666666667,16.0,2.5,0.679999999999336,151.0373296420216,4.68706371166088,0.34847175211588816,0.1908889406384685,0.3162706163194444,0.29311342592592593,0.09972692418981481,0.2069769965277778,0.08391203703703703,0.39061595775462965
all_policy_events,verifier_capacity,verifier_mid_le_5,110592,7.534722222222222,10.0,5.0,0.5199999999988392,94.45209043297729,1.3572319878472223,0.48299909184202994,0.23363303697066726,0.45365849247685186,0.2511121961805556,0.0887134693287037,0.11011646412037036,0.09639937789351852,0.2952293113425926
all_policy_events,verifier_capacity,verifier_ample_gt_5,221184,3.0347222222222223,15.0,6.5,0.514999999999784,83.99245345308002,1.4613376193576388,0.6002878395929282,0.2801923739531456,0.5265977647569444,0.2110866970486111,0.07902018229166667,0.10726363570601852,0.07603172019675926,0.2623155381944444
all_policy_events,resource_utilization,resource_low_lt_0p55,221184,4.958333333333333,13.0,6.0,0.4849999999994353,69.72492127888438,1.4328082049334492,0.5411521709074254,0.25507693032909745,0.5091371889467593,0.21483018663194445,0.08252857349537036,0.11163556134259259,0.08186848958333333,0.2760326244212963
all_policy_events,resource_utilization,resource_mid_lt_0p65,110592,3.6875,14.0,6.0,0.580000000001283,122.98715478137002,1.4142908166956019,0.6012704292130792,0.28386392421874,0.4885796440972222,0.2436252170138889,0.0816966869212963,0.10137261284722222,0.08472583912037036,0.2677951388888889
all_policy_events,resource_utilization,resource_high_ge_0p65,110592,6.166666666666667,16.0,2.5,0.679999999999336,151.0373296420216,4.68706371166088,0.34847175211588816,0.1908889406384685,0.3162706163194444,0.29311342592592593,0.09972692418981481,0.2069769965277778,0.08391203703703703,0.39061595775462965
all_policy_events,commitment_debt,debt_low_lt_5,35230,4.234430882770366,14.475957990349134,5.93170593244394,0.5117479420950724,1.405542039625305,1.055315072381493,0.19302494958841906,0.05167721930740841,0.18467215441385182,0.06713028668748226,0.25421515753619073,0.45640079477717854,0.03758160658529662,0.7481975588986659
all_policy_events,commitment_debt,debt_mid_lt_20,114136,4.476624377935095,13.892006027896544,5.796479638326208,0.5250155078147686,13.466472790504529,1.3936663278895354,0.5442062094682943,0.22605543533660896,0.5049064274199201,0.16651188056353824,0.06367841872853439,0.18764456437933694,0.07725870890867036,0.3285816920165417
