baseline,baseline_commitment_debt_end,baseline_config_id,baseline_core_dominates_ccpb,baseline_deferred_ratio,baseline_fce,baseline_progress,baseline_rejected_ratio,baseline_resource_reservation_waste,ccpb_commitment_debt_end,ccpb_config_id,ccpb_deferred_ratio,ccpb_fce,ccpb_progress,ccpb_rejected_ratio,ccpb_resource_reservation_waste,regime,split
action_admission,34.79829,action_admission_cfg010,0,0.08333333333333333,49.22766,25.025055000000002,0.09722222222222222,4.06165,9.27505,progress_guarded_cpb_cfg004,0.027777777777777776,35.31714000000001,22.612135000000002,0.1388888888888889,0.8747500000000001,feasible,test_id
action_admission,29.808765,action_admission_cfg018,0,0.08333333333333333,51.1751,25.025055000000002,0.09722222222222222,4.06165,9.27505,progress_guarded_cpb_cfg004,0.027777777777777776,35.31714000000001,22.612135000000002,0.1388888888888889,0.8747500000000001,feasible,test_id
action_admission,29.808765,action_admission_cfg020,0,0.08333333333333333,48.74598,25.025055000000002,0.09722222222222222,4.06165,9.27505,progress_guarded_cpb_cfg004,0.027777777777777776,35.31714000000001,22.612135000000002,0.1388888888888889,0.8747500000000001,feasible,test_id
closed_loop_cpb,14.4328,closed_loop_cpb_cfg002,0,0.05555555555555555,45.814,24.53191500000001,0.09722222222222222,3.4699,9.27505,progress_guarded_cpb_cfg004,0.027777777777777776,35.31714000000001,22.612135000000002,0.1388888888888889,0.8747500000000001,feasible,test_id
closed_loop_cpb,11.7985,closed_loop_cpb_cfg005,0,0.05555555555555555,34.67518000000001,24.323865000000005,0.1111111111111111,0.8747500000000001,9.27505,progress_guarded_cpb_cfg004,0.027777777777777776,35.31714000000001,22.612135000000002,0.1388888888888889,0.8747500000000001,feasible,test_id
closed_loop_cpb,9.27505,closed_loop_cpb_cfg007,1,0.027777777777777776,34.86424000000001,22.61991,0.125,0.8747500000000001,9.27505,progress_guarded_cpb_cfg004,0.027777777777777776,35.31714000000001,22.612135000000002,0.1388888888888889,0.8747500000000001,feasible,test_id
closed_loop_cpb,18.250395,closed_loop_cpb_cfg016,0,0.05555555555555555,58.47990000000001,24.145720000000004,0.09722222222222222,6.6568000000000005,9.27505,progress_guarded_cpb_cfg004,0.027777777777777776,35.31714000000001,22.612135000000002,0.1388888888888889,0.8747500000000001,feasible,test_id
fastest_broadcast,47.80995,fastest_broadcast_cfg000,0,0.0,46.26259999999999,22.869055,0.0,0.8747500000000001,9.27505,progress_guarded_cpb_cfg004,0.027777777777777776,35.31714000000001,22.612135000000002,0.1388888888888889,0.8747500000000001,feasible,test_id
fastest_broadcast,424.29015,fastest_broadcast_cfg005,0,0.0,58.512679999999996,28.50580000000001,0.0,6.15235,9.27505,progress_guarded_cpb_cfg004,0.027777777777777776,35.31714000000001,22.612135000000002,0.1388888888888889,0.8747500000000001,feasible,test_id
fastest_broadcast,47.344925,fastest_broadcast_cfg008,0,0.0,54.13132,22.859875,0.0,0.8747500000000001,9.27505,progress_guarded_cpb_cfg004,0.027777777777777776,35.31714000000001,22.612135000000002,0.1388888888888889,0.8747500000000001,feasible,test_id
